date,country,marketing_channel,signups,kyc_init,kyc_complete,card_activation,first_transaction
1/1/17,SVK,paid social,100,80,55,42,33
1/1/17,ITA,friend referral,90,73,52,40,34
1/1/17,NOR,app store,96,79,56,49,31
1/1/17,FRA,app store,91,75,59,41,39
1/1/17,DEU,brand influencer,92,70,60,40,39
1/1/17,NOR,app store,100,76,59,41,35
1/1/17,PRT,other organic,90,74,60,46,34
1/1/17,ESP,display,100,70,58,47,36
1/1/17,FRA,other organic,98,78,52,49,39
1/1/17,ITA,brand influencer,100,73,50,40,34
1/1/17,FRA,display,92,71,59,47,37
1/1/17,DEU,app store,94,80,55,44,31
1/1/17,IRL,direct,95,79,51,42,36
1/1/17,ITA,paid search,97,72,55,40,40
1/1/17,PRT,direct,90,78,60,40,32
1/1/17,ESP,paid search,93,76,60,44,30
1/1/17,PRT,direct,94,76,58,44,30
1/2/17,EST,friend referral,94,74,58,45,32
1/2/17,ITA,direct,91,72,60,50,40
1/2/17,EST,friend referral,95,70,55,44,40
1/2/17,ESP,brand influencer,91,70,58,46,36
1/2/17,FRA,display,92,72,57,45,33
1/2/17,PRT,other organic,98,70,60,46,31
1/2/17,DEU,other organic,97,80,54,41,36
1/2/17,ESP,affiliate,92,72,50,46,33
1/2/17,ESP,app store,95,80,56,45,33
1/2/17,ITA,other organic,91,70,58,40,40
1/3/17,SVK,direct,93,77,54,50,38
1/3/17,POL,paid social,90,77,56,49,35
1/3/17,BEL,affiliate,96,80,54,45,30
1/3/17,ESP,direct,96,76,50,45,35
1/3/17,EST,organic search,100,73,59,44,37
1/3/17,PRT,organic search,93,71,56,41,33
1/3/17,ESP,friend referral,92,76,51,44,40
1/3/17,ITA,brand influencer,94,75,58,50,38
1/3/17,ITA,paid social,90,70,53,50,32
1/3/17,FRA,friend referral,99,75,56,46,34
1/3/17,EST,paid search,91,80,55,43,34
1/3/17,ITA,affiliate,98,80,53,47,35
1/3/17,GRC,other organic,91,74,51,50,32
1/3/17,DEU,affiliate,99,80,57,50,36
1/3/17,DEU,paid social,100,70,54,40,31
1/3/17,DEU,friend referral,90,80,50,46,34
1/4/17,EST,partnership,92,77,52,45,36
1/4/17,ITA,display,91,76,51,50,37
1/4/17,EST,direct,91,79,51,40,34
1/4/17,FRA,organic search,99,80,58,46,34
1/4/17,ESP,affiliate,90,78,57,43,38
1/4/17,POL,organic search,97,79,60,44,34
1/4/17,FRA,paid search,99,71,59,46,39
1/4/17,IRL,organic search,93,78,52,47,31
1/4/17,ITA,organic search,98,77,56,50,37
1/4/17,EST,affiliate,98,78,52,45,33
1/4/17,ESP,brand influencer,97,74,54,49,38
1/4/17,IRL,friend referral,99,70,53,50,34
1/4/17,PRT,friend referral,90,78,54,44,35
1/4/17,ESP,display,100,80,51,49,32
1/4/17,ITA,organic search,97,73,52,46,31
1/4/17,DEU,affiliate,96,74,53,50,37
1/4/17,ESP,other organic,96,75,59,44,31
1/4/17,ITA,app store,100,73,58,42,32
1/4/17,EST,app store,96,77,57,48,33
1/5/17,ESP,paid search,90,76,50,47,31
1/5/17,IRL,direct,93,79,50,41,33
1/5/17,POL,affiliate,96,71,50,50,33
1/5/17,FRA,paid search,94,78,52,44,39
1/5/17,ESP,direct,90,80,57,42,36
1/5/17,GRC,app store,91,79,60,44,40
1/5/17,ESP,other organic,98,75,59,49,31
1/5/17,GRC,app store,97,76,57,49,38
1/5/17,BEL,affiliate,90,75,52,40,40
1/5/17,IRL,app store,90,79,50,48,34
1/5/17,PRT,friend referral,92,79,56,47,36
1/6/17,DEU,affiliate,92,79,58,47,34
1/6/17,GRC,app store,94,72,60,44,37
1/6/17,ESP,display,97,77,56,41,39
1/6/17,FRA,other organic,93,70,55,49,39
1/6/17,NOR,friend referral,92,78,56,49,36
1/6/17,GRC,direct,96,70,52,46,37
1/6/17,POL,other organic,90,78,58,42,35
1/6/17,PRT,partnership,90,76,52,50,30
1/6/17,PRT,friend referral,99,74,52,48,36
1/6/17,FRA,friend referral,92,79,58,49,39
1/6/17,EST,paid search,95,72,55,41,31
1/6/17,ESP,affiliate,93,71,54,42,35
1/6/17,PRT,direct,97,76,57,47,33
1/6/17,GRC,paid search,99,80,51,48,32
1/7/17,ITA,paid social,100,77,56,43,34
1/7/17,ESP,paid search,92,70,55,48,34
1/7/17,DEU,partnership,90,76,52,48,31
1/7/17,ITA,app store,99,73,57,41,31
1/7/17,NOR,affiliate,100,76,50,42,33
1/7/17,ESP,organic search,99,74,56,50,34
1/7/17,FRA,organic search,98,70,56,46,37
1/7/17,ESP,paid social,94,79,50,47,35
1/7/17,PRT,paid social,96,73,58,50,30
1/7/17,IRL,organic search,98,71,52,46,39
1/7/17,ITA,paid search,90,77,53,44,40
1/7/17,ITA,direct,99,73,60,41,37
1/7/17,PRT,friend referral,94,71,57,46,35
1/7/17,DEU,paid social,100,73,53,42,34
1/8/17,DEU,paid search,100,73,55,42,35
1/8/17,DEU,display,90,78,54,46,36
1/8/17,DEU,paid social,94,77,51,40,38
1/8/17,IRL,friend referral,95,77,50,43,32
1/8/17,PRT,affiliate,91,70,53,46,31
1/8/17,GRC,friend referral,98,70,56,47,35
1/8/17,GRC,paid search,98,70,57,42,33
1/8/17,DEU,organic search,90,80,57,43,35
1/8/17,ESP,paid social,92,73,52,42,36
1/8/17,PRT,direct,100,70,57,47,38
1/9/17,SVK,app store,96,71,58,46,38
1/9/17,ITA,paid social,98,74,55,48,33
1/9/17,GRC,direct,95,77,51,48,36
1/9/17,FRA,brand influencer,98,79,53,50,33
1/9/17,BEL,organic search,98,72,55,48,40
1/9/17,FRA,other organic,100,80,50,49,31
1/9/17,BEL,app store,92,77,58,47,35
1/9/17,EST,friend referral,97,78,55,49,38
1/9/17,DEU,app store,90,80,51,40,30
1/9/17,PRT,friend referral,94,74,54,43,35
1/9/17,BEL,app store,90,71,50,42,31
1/9/17,FRA,direct,91,77,58,49,33
1/9/17,GRC,friend referral,94,72,57,48,34
1/9/17,FRA,friend referral,90,71,58,41,34
1/10/17,POL,partnership,95,79,54,49,37
1/10/17,EST,paid search,98,78,51,41,40
1/10/17,ITA,paid social,95,76,60,47,33
1/10/17,DEU,other organic,92,80,58,41,37
1/10/17,IRL,partnership,96,73,53,45,39
1/10/17,DEU,organic search,96,76,58,41,38
1/10/17,ESP,direct,91,78,57,42,40
1/10/17,PRT,paid social,100,79,50,44,34
1/10/17,GRC,other organic,96,78,50,45,37
1/10/17,ITA,paid social,96,72,59,45,40
1/10/17,SVK,app store,96,80,57,49,32
1/10/17,GRC,paid search,90,72,58,49,34
1/10/17,GRC,friend referral,98,80,55,43,33
1/10/17,FRA,affiliate,95,77,58,50,31
1/11/17,DEU,paid search,95,71,50,44,31
1/11/17,DEU,organic search,99,73,56,43,34
1/11/17,ESP,display,93,78,52,48,30
1/11/17,GRC,paid search,95,76,54,46,34
1/11/17,PRT,affiliate,96,70,58,47,33
1/11/17,EST,paid social,91,70,58,40,36
1/11/17,ITA,app store,93,74,57,46,39
1/11/17,BEL,friend referral,99,74,50,47,40
1/12/17,GRC,other organic,96,79,54,48,35
1/12/17,FRA,other organic,91,79,60,46,37
1/12/17,FRA,friend referral,95,74,51,42,33
1/12/17,PRT,organic search,92,74,54,40,32
1/12/17,ITA,other organic,98,72,58,40,35
1/12/17,DEU,organic search,91,78,54,45,38
1/12/17,BEL,paid social,96,70,58,46,36
1/12/17,FRA,brand influencer,90,73,51,45,36
1/12/17,FRA,affiliate,99,76,60,44,35
1/12/17,ITA,direct,91,76,60,46,32
1/12/17,FRA,app store,94,71,53,43,34
1/12/17,ESP,other organic,100,74,60,41,34
1/12/17,ITA,affiliate,91,79,54,45,39
1/13/17,GRC,partnership,99,78,51,44,30
1/13/17,DEU,direct,98,72,56,48,35
1/13/17,IRL,organic search,91,80,58,49,31
1/13/17,BEL,direct,93,80,52,41,34
1/13/17,EST,app store,97,76,59,40,37
1/13/17,FRA,app store,93,72,59,42,36
1/13/17,GRC,app store,99,72,55,49,32
1/13/17,IRL,friend referral,95,76,59,41,35
1/14/17,SVK,paid search,96,80,57,40,39
1/14/17,PRT,other organic,99,77,56,41,38
1/14/17,IRL,app store,97,75,52,42,30
1/14/17,NOR,other organic,96,79,60,47,37
1/14/17,DEU,friend referral,90,70,51,42,33
1/14/17,EST,paid search,93,77,50,50,33
1/14/17,BEL,paid search,98,79,58,40,40
1/14/17,FRA,other organic,100,75,60,48,36
1/14/17,DEU,brand influencer,92,74,53,46,36
1/14/17,DEU,app store,92,75,53,41,35
1/14/17,GRC,paid social,99,74,56,47,35
1/14/17,ESP,paid social,100,79,53,41,31
1/15/17,PRT,direct,91,71,57,49,35
1/15/17,BEL,display,90,73,55,40,39
1/15/17,SVK,friend referral,96,79,59,43,39
1/15/17,ESP,app store,92,72,57,48,39
1/15/17,GRC,direct,99,78,55,47,38
1/15/17,FRA,paid search,97,79,50,45,31
1/15/17,DEU,display,98,75,56,49,31
1/15/17,FRA,friend referral,100,73,58,41,30
1/15/17,ESP,organic search,98,76,52,41,37
1/15/17,ESP,direct,92,80,53,44,34
1/15/17,DEU,organic search,97,72,54,49,30
1/15/17,EST,friend referral,96,79,60,48,38
1/16/17,PRT,direct,91,79,52,46,32
1/16/17,ESP,organic search,99,75,52,46,39
1/16/17,BEL,friend referral,98,73,52,48,30
1/16/17,DEU,other organic,97,79,60,42,33
1/16/17,FRA,friend referral,93,71,51,49,39
1/16/17,ITA,display,98,80,59,47,40
1/16/17,ESP,friend referral,99,73,51,46,31
1/16/17,BEL,affiliate,94,71,51,40,37
1/16/17,PRT,friend referral,91,76,54,42,35
1/16/17,ITA,direct,100,79,56,41,32
1/17/17,BEL,organic search,93,80,55,50,38
1/17/17,DEU,paid social,98,79,57,50,33
1/17/17,POL,organic search,93,78,58,48,34
1/17/17,GRC,organic search,95,75,52,47,31
1/17/17,GRC,paid search,98,74,52,43,36
1/17/17,IRL,app store,90,71,51,50,34
1/17/17,EST,paid search,96,74,59,47,30
1/17/17,ESP,paid social,100,73,50,48,34
1/17/17,DEU,app store,98,76,54,49,32
1/17/17,GRC,paid search,92,76,52,43,32
1/17/17,IRL,direct,92,75,57,44,36
1/17/17,IRL,organic search,94,70,57,48,32
1/17/17,PRT,friend referral,92,71,51,44,35
1/17/17,IRL,app store,94,73,53,42,31
1/18/17,FRA,direct,98,73,51,40,40
1/18/17,GRC,other organic,95,75,55,48,40
1/18/17,GRC,paid social,100,73,56,49,40
1/18/17,PRT,other organic,99,80,56,47,35
1/18/17,GRC,direct,100,70,60,46,34
1/18/17,PRT,friend referral,96,80,53,45,31
1/18/17,ESP,partnership,92,76,60,41,31
1/18/17,BEL,affiliate,94,75,56,42,35
1/18/17,IRL,friend referral,100,80,54,43,31
1/18/17,DEU,other organic,93,74,58,49,39
1/18/17,ESP,organic search,97,73,50,45,31
1/18/17,SVK,organic search,98,77,52,45,39
1/18/17,BEL,friend referral,92,74,51,41,39
1/18/17,ESP,paid social,91,75,51,43,40
1/18/17,PRT,app store,94,77,59,41,32
1/18/17,EST,organic search,95,74,50,47,38
1/18/17,FRA,other organic,95,71,52,43,33
1/19/17,ITA,affiliate,92,79,54,48,31
1/19/17,POL,app store,93,71,51,43,35
1/19/17,ESP,paid social,99,79,55,50,34
1/19/17,BEL,paid search,95,76,52,46,37
1/19/17,SVK,paid social,92,75,57,47,37
1/19/17,ITA,organic search,93,72,56,50,32
1/19/17,SVK,direct,97,77,54,42,34
1/19/17,FRA,app store,92,71,51,40,33
1/19/17,FRA,friend referral,92,79,58,48,35
1/20/17,DEU,paid search,95,74,55,50,39
1/20/17,NOR,paid search,91,80,58,47,37
1/20/17,POL,other organic,96,79,58,44,36
1/20/17,POL,friend referral,92,70,50,42,36
1/20/17,DEU,paid search,92,71,51,44,36
1/20/17,SVK,other organic,96,71,56,44,31
1/20/17,ITA,partnership,100,71,55,49,38
1/20/17,IRL,paid social,98,80,59,46,32
1/20/17,SVK,paid social,99,78,55,49,35
1/20/17,ESP,app store,95,70,51,42,31
1/20/17,EST,app store,100,80,57,43,40
1/20/17,IRL,organic search,92,78,51,47,34
1/20/17,FRA,other organic,100,73,51,43,32
1/20/17,DEU,organic search,92,74,58,41,36
1/20/17,SVK,organic search,100,80,55,46,36
1/20/17,EST,paid search,98,75,52,41,33
1/20/17,BEL,other organic,97,70,59,41,37
1/21/17,DEU,organic search,94,70,50,42,38
1/21/17,ITA,affiliate,93,79,60,43,30
1/21/17,DEU,friend referral,92,76,55,50,34
1/21/17,EST,app store,99,75,57,50,40
1/21/17,IRL,partnership,100,72,56,41,32
1/21/17,DEU,affiliate,96,75,54,40,37
1/21/17,DEU,direct,90,71,60,50,37
1/21/17,BEL,direct,92,73,60,48,38
1/22/17,ITA,direct,98,76,55,43,32
1/22/17,SVK,direct,96,76,50,42,35
1/22/17,NOR,affiliate,99,79,55,48,31
1/22/17,FRA,app store,96,76,58,45,31
1/22/17,NOR,display,92,71,54,42,40
1/22/17,POL,app store,100,79,58,47,35
1/22/17,ESP,app store,93,71,50,43,37
1/22/17,PRT,other organic,97,80,51,45,38
1/22/17,ESP,display,95,76,52,43,34
1/22/17,PRT,direct,95,78,52,43,33
1/22/17,BEL,friend referral,91,71,56,48,34
1/22/17,BEL,affiliate,99,75,60,43,33
1/22/17,ITA,organic search,92,80,55,45,36
1/22/17,FRA,other organic,100,72,56,42,39
1/22/17,FRA,organic search,91,80,58,43,31
1/22/17,ITA,other organic,93,76,59,50,38
