userid,country,day_exposed_to_ad,treatment,signed_up_metal,signed_up_standard
e0912256-b48a-45c0-afec-23350d341abd,Spain,2017-03-01,Standard,0,1
321c18f1-c58e-488d-a60a-462dfc9d38aa,Italy,2017-03-10,Standard,0,0
3d03c163-d14b-49da-873a-a54cc3b400e3,Italy,2017-03-24,Metal,0,1
3acb5a84-4375-405b-9a8b-bfb8979ab9bc,Spain,2017-03-06,Standard,0,1
1b488764-6874-4483-8e70-815feb07b154,Italy,2017-03-03,Metal,0,0
8c873765-8633-4161-81f1-ce41d710a643,Italy,2017-03-14,Standard,0,0
d3c2dcd5-00f0-48eb-8937-7262328b2cfd,Spain,2017-03-26,Metal,0,1
8746e1cd-573c-4beb-8343-4fa42ee75a78,Italy,2017-03-01,Metal,0,0
4a160c04-e636-475d-aa6f-e5cd6de2d61c,Italy,2017-03-09,Metal,0,1
657760a9-fec5-4ec7-9d78-ce235ee5e934,Italy,2017-03-10,Metal,0,0
a55f7752-8826-443d-9730-caa19cb8b3cd,Italy,2017-03-18,Standard,0,0
c7a61464-bc79-42b1-b612-ead42b5b3624,Italy,2017-03-16,Standard,0,0
a23627d5-fad5-48d8-bc19-0b93360f7dad,Spain,2017-03-05,Metal,0,0
9b03f0b8-0e31-40ae-90d2-ab619c1219f2,Italy,2017-03-15,Standard,1,0
11ed8a1d-a9c8-4e78-8c60-0d61cc7c2148,Italy,2017-03-27,Standard,0,0
ed9854fe-b57b-4961-91df-3e8db660440f,Italy,2017-03-16,Standard,0,1
e8fbed99-8729-480e-a0c1-a3b2cfabc10f,Italy,2017-03-28,Standard,0,0
c2ea3691-4949-45f9-9b1f-855e1812821d,Italy,2017-03-02,Metal,0,0
84eb143d-8633-4e74-a02e-ba62d77382ae,Italy,2017-03-01,Standard,0,0
e8c36969-ee5d-4e9a-ac18-3e170f32d03f,Spain,2017-03-16,Metal,0,0
1e8a533a-3efb-4115-90fa-0d06e27c44de,Spain,2017-03-25,Standard,0,0
a4a88f32-df5b-4e24-aa27-f3a3782554dd,Italy,2017-03-12,Standard,0,1
77afcbdf-99d2-4292-8af5-470eeeea4f26,Spain,2017-03-13,Metal,0,0
09c27a30-21d3-41a1-bce5-00ae482dff97,Italy,2017-03-10,Metal,0,0
8f5d2bbc-5ce0-4be5-8819-46489f565698,Italy,2017-03-15,Standard,0,0
d583dc3d-cc65-4130-a8d5-93e8e19f923c,Italy,2017-03-23,Metal,0,0
6ca464bd-3a3a-4e04-8182-9103b8b89bc5,Spain,2017-03-27,Standard,0,1
9031dbb7-57ac-4054-bc55-7f5dabf64e94,Spain,2017-03-06,Metal,0,1
fd2cecff-b63e-41a2-9bd4-7c811aa34d5b,Spain,2017-03-26,Metal,0,0
c2194d07-3ba9-4a92-b096-9035cdbc3041,Spain,2017-03-04,Metal,0,0
c7f99706-3fd0-439c-8892-ab344f5de607,Spain,2017-03-03,Metal,0,0
09e68992-0716-4d6a-a328-d3cca591d06d,Spain,2017-03-07,Metal,0,0
e921472c-b4c3-489e-bd3b-2b9a37eaa843,Italy,2017-03-11,Metal,0,1
2ece29f5-84e0-42a2-8c49-9062842dbde0,Spain,2017-03-16,Metal,0,0
83080f82-406e-4767-9ba9-1f6dbbbcffa6,Italy,2017-03-04,Standard,0,0
b5cdeb16-78a4-4623-a1c9-b75b39ce2d5b,Italy,2017-03-29,Standard,0,0
bdae608e-80c0-44e1-87d6-8e5e4f459583,Italy,2017-03-13,Metal,0,0
bad61a26-01fd-4f8a-9e4d-838c2a939fec,Italy,2017-03-23,Standard,0,0
757aaafa-8886-4450-aa3b-1619cfefcc85,Italy,2017-03-19,Metal,0,1
58297dd9-90b3-4a52-a902-31461f200efa,Italy,2017-03-02,Standard,0,1
99f3b605-9571-4b43-bf3a-f98e0044f45a,Italy,2017-03-18,Metal,0,0
7d18c85d-42b8-4dc9-bafb-39147f168d93,Italy,2017-03-11,Standard,0,0
